,,,PHOTOS,DOC TYPE,NOTES,PLANT NO.,,
Trifolium ciliolatum,FOOTHILL CLOVER,,http://www.flickr.com/search/?q=jrbp Trifolium ciliolatum,SPEC,Trifolium Guide,320,,
Trifolium depauperatum var. amplectens,PALE SACK CLOVER,,http://www.flickr.com/search/?q=jrbp Trifolium depauperatum amplectens,SPEC,Trifolium Guide,321,,
Trifolium depauperatum var. truncatum,TRUNCATE SACK CLOVER,,http://www.flickr.com/search/?q=jrbp Trifolium depauperatum truncatum,SPEC,Trifolium Guide,322,,
Trifolium dichotomum (T. albopurpureum var. dichotomum),BRANCHED RANCHERIA CLOVER,,http://www.flickr.com/search/?q=jrbp Trifolium dichotomum,SPEC,Trifolium Guide,315,,
*Trifolium dubium,LITTLE HOP CLOVER,,http://www.flickr.com/search/?q=jrbp Trifolium dubium,SPEC,Trifolium Guide,323,,
Trifolium fucatum,BULL CLOVER,,http://www.flickr.com/search/?q=jrbp Trifolium fucatum,SPEC,Trifolium Guide,324,,
*Trifolium glomeratum,CLUSTERED CLOVER,,http://www.flickr.com/search/?q=jrbp Trifolium glomeratum,SPEC,Trifolium Guide,813,,
Trifolium gracilentum (T. g. var. g.),PINPOINT CLOVER,,http://www.flickr.com/search/?q=jrbp Trifolium gracilentum,SPEC,Trifolium Guide,325,,
*Trifolium hirtum,ROSE CLOVER,,http://www.flickr.com/search/?q=jrbp Trifolium hirtum,SPEC,Trifolium Guide,326,,
*Trifolium hybridum,ALSIKE CLOVER,,http://www.flickr.com/search/?q=jrbp Trifolium hybridum,SPEC,Trifolium Guide. Collected in 1983 near Low Flow Crossing; not reported since,327,,
Trifolium microcephalum,SMALL-HEADED CLOVER,,http://www.flickr.com/search/?q=jrbp Trifolium microcephalum,SPEC,Trifolium Guide,328,,
Trifolium microdon,THIMBLE CLOVER,,http://www.flickr.com/search/?q=jrbp Trifolium microdon,SPEC,Trifolium Guide,329,,
Trifolium oliganthum,FEW-FLOWERED CLOVER,,http://www.flickr.com/search/?q=jrbp Trifolium oliganthum,SPEC,Trifolium Guide,330,,
*Trifolium repens,WHITE CLOVER,,http://www.flickr.com/search/?q=jrbp Trifolium repen,SPEC,Trifolium Guide,331,,
*Trifolium subterraneum,SUBTERRANEAN CLOVER,,http://www.flickr.com/search/?q=jrbp Trifolium subterraneum,SPEC,Trifolium Guide,332,,
Trifolium variegatum var. v. (T. v.),WHITE-TIPPED CLOVER,,http://www.flickr.com/search/?q=jrbp Trifolium variegatum,SPEC,Trifolium Guide,333,,
Trifolium willdenovii,TOMCAT CLOVER,,http://www.flickr.com/search/?q=jrbp Trifolium willdenovii,SPEC,Trifolium Guide,334,,
* Ulex europaeus,GORSE,,,SPEC,single mature plant removed 2017,945,,
Vicia Americana ssp. americana,AMERICAN VETCH,,http://www.flickr.com/search/?q=jrbp Vicia americana,SPEC,,336,,
* Vicia benghalensis,PURPLE VETCH,,http://www.flickr.com/search/?q=jrbp Vicia benghalensis,SPEC,Infl. 3–12-fld; fruit densely strigose (vs. V. villosa),806,,
W Vicia disperma,TWO-SEEDED VETCH,,http://www.flickr.com/search/?q=jrbp Vicia disperma,SPEC,Lflts 12-20 (vs. V. tertrasperma),909,,
*Vicia sativa ssp. nigra,NARROW-LEAVED VETCH,,http://www.flickr.com/search/?q=jrbp Vicia sativa nigra,SPEC,Calyx tube < 6 mm; corolla < 18 mm,338,,
*Vicia sativa ssp. sativa,SPRING VETCH,,http://www.flickr.com/search/?q=jrbp Vicia sativa,SPEC,Calyx tube 6 mm or >; corolla > 18 mm,339,,
*Vicia tetrasperma,SPARROW VETCH,,http://www.flickr.com/search/?q=jrbp Vicia tetrasperma,SPEC,Lflts 4-10 (vs. V. disperma),929,,
*Vicia villosa ssp. varia,"HAIRY VETCH, WINTER VETCH",,http://www.flickr.com/search/?q=jrbp Vicia villosa,SPEC,"First reported Dengler 1975; Infl. 10–25-flowered; fruit glabrous or with short, sparse appressed hairs (vs. V. benghalensis)",340,,
FAGACEAE – OAK FAMILY (see also Oak Notes),,,,,,,,
Notholithocarpus densiflorus var. densiflorus (Lithocarpus d. var. d.),"TAN OAK, TANBARK OAK",,http://www.flickr.com/search/?q=jrbp Notholithocarpus densiflorus,SPEC,One sapling reported in 2007; last seen alive in 2010,895,,
Quercus agrifolia var. agrifolia,"COAST LIVE OAK, ENCINA",,http://www.flickr.com/search/?q=jrbp Quercus agrifolia,SPEC,,341,,
Quercus aff. berberidifolia,SCRUB OAK,,http://www.flickr.com/search/?q=jrbp Quercus cf berberidifolia,SPEC,Quercus berberidifolia Notes,921,,
Quercus chrysolepis,"MAUL OAK, CANYON LIVE OAK",,http://www.flickr.com/search/?q=jrbp Quercus chrysolepis,SPEC,,342,,
Quercus douglasii,BLUE OAK,,http://www.flickr.com/search/?q=jrbp Quercus douglasii,SPEC,,343,,add photo link
Quercus douglasii x Q.durata,HYBRID BLUE & LEATHER OAK,,,SPEC,JRBP Serpentine Flora,790,,
Quercus durata var. durata,LEATHER OAK,,http://www.flickr.com/search/?q=jrbp Quercus durata,SPEC,,344,,
N Quercus durata x Q. lobata,HYBRID LEATHER & VALLEY OAK,,http://www.flickr.com/search/?q=jrbp Quercus durata lobata,SPEC,Collected in 1904 by LeRoy Abrams; not reported since,789,,add note CN
Quercus kelloggii,CALIFORNIA BLACK OAK,,http://www.flickr.com/search/?q=jrbp Quercus kelloggii,SPEC,,345,,
Quercus lobata,"VALLEY OAK, ROBLE",,http://www.flickr.com/search/?q=jrbp Quercus lobata,SPEC,,346,,
Quercus wislizeni var. frutescens,DWARF INTERIOR LIVE OAK,,http://www.flickr.com/search/?q=jrbp Quercus wislizeni,SPEC,,347,,
N Quercus x chasei (Q. agrifolia var. a . x Q. kelloggii,HYBRID LIVE & BLACK OAK,,http://www.flickr.com/search/?q=jrbp Quercus agrifolia x kelloggii,SPEC,,797,,
N Quercus x jolonensis (Q. douglasii x Q. lobata),HYBRID BLUE & VALLEY OAK,,http://www.flickr.com/search/?q=jrbp Quercus douglasii x lobata,SPEC,,791,,
N Quercus x morehus (Q. kelloggii x Q. wislizeni),ORACLE OAK,,http://www.flickr.com/search/?q=jrbp Quercus kelloggii x wislizeni,SPEC,JROH2534 collected 3/19/1898 as Quercus; annotated Quercus X morehus by John Thomas in 1958; no currently known location,792,,
GARRYACEAE – SILK TASSEL FAMILY,,,,,,,,
Garrya elliptica,COAST SILK TASSEL,,http://www.flickr.com/search/?q=jrbp Garrya elliptica,SPEC,,349,,
GENTIANACEAE – GENTIAN FAMILY,,,,,,,,
Cicendia quadrangularis,TIMWORT,,http://www.flickr.com/search/?q=jrbp Cicendia quadrangularis,SPEC,,352,,
"Zeltnera davyi
 (Centaurium d.)",DAVY'S CENTAURY,,http://www.flickr.com/search/?q=jrbp Zeltnera davyi,SPEC,calyx lobes keeled corolla with prominent white throat band,350,,
Zeltnera muehlenbergii (Centaurium m.),MONTEREY CENTAURY,,http://www.flickr.com/search/?q=jrbp Zeltnera muehlenbergii,SPEC,not like above,351,,
GERANIACEAE – GERANIUM FAMILY,,,,,,,,"Ger sp. removed, no voucher"
*Erodium botrys,LONG-BEAKED FILAREE,,http://www.flickr.com/search/?q=jrbp Erodium botrys,SPEC,,353,,
*Erodium brachycarpum,SHORT-FRUITED FILAREE,,http://www.flickr.com/search/?q=jrbp Erodium brachycarpum,SPEC,Collected in 1903; not reported since,354,,
*Erodium cicutarium,REDSTEM FILAREE,,http://www.flickr.com/search/?q=jrbp Erodium cicutarium,SPEC,"lvs compound; top of fruit tips w/glabrous pits, subtended by 1-2 glabrous ridges (vs E. moschatum)",355,,
*Erodium moschatum,GREENSTEM FILAREE,,http://www.flickr.com/search/?q=jrbp Erodium moschatum,SPEC,"lvs compound; fr tips with glandular pits, subtanded by 1-2 glandular ridges (vs E. cicutarium)",356,,
* Geranium dissectum,CUT-LEAVED GERANIUM,,Ribes aureum var. gracillimum,SPEC,,357,,
* Geranium molle,DOVE’S-FOOT GERANIUM,,http://www.flickr.com/search/?q=JRBP Geranium molle,SPEC,,358,,
* Geranium purpureum,LESSER HERB ROBERT,,http://www.flickr.com/search/?q=JRBP Geranium purpureum,SPEC,Anthers ± yellow,946,,
*Geranium robertianum,HERB ROBERT,,http://www.flickr.com/search/?q=JRBP Geranium robertianum,SPEC,Anthers ± purple,359,,
GROSSULARIACEAE – GOOSEBERRY FAMILY,,,,,,,,
Ribes aureum var. gracillimum,GOLDEN CURRANT,,http://www.flickr.com/search/?q=jrbp Ribes aureum,SPEC,,360,,
Ribes californicum var. californicum,HILLSIDE GOOSEBERRY,,http://www.flickr.com/search/?q=jrbp Ribes californicum,SPEC,,361,,
Ribes divaricatum var. pubiflorum,STRAGGLE BUSH,,http://www.flickr.com/search/?q=jrbp Ribes divaricatum,SPEC,,362,,
Ribes malvaceum var. malvaceum,CHAPARRAL CURRANT,,http://www.flickr.com/search/?q=jrbp Ribes malvaceum,SPEC,,363,,
Ribes menziesii var. menziesii (R. menziesii),CANYON GOOSEBERRY,,http://www.flickr.com/search/?q=jrbp Ribes menziesii,SPEC,Springer 1935 “Rare (3 bushes found)”; still uncommon,364,,
Ribes sanguineum var. glutinosum,RED-FLOWERING CURRANT,,http://www.flickr.com/search/?q=jrbp Ribes sanguineum,SPEC,,365,,
HALORAGACEAE – WATER-MILFOIL FAMILY,,,,,,,,
*Myriophyllum aquaticum,PARROT'S FEATHER,,http://www.flickr.com/search/?q=jrbp Myriophyllum aquaticum,SPEC,,366,,
HIPPOCASTANACEAE (see SAPINDACEAE),,,,,,,,
HYDRANGEACEAE – HYDRANGEA FAMILY (includes PHILADELPHACEAE),,,,,,,,
Whipplea modesta,MODESTY,,http://www.flickr.com/search/?q=jrbp Whipplea,SPEC,,439,,
HYDROPHYLLACEAE see BORAGINACEAE,,,,,,,,
HYPERICACEAE – ST. JOHN'S WORT FAMILY,,,,,,,,
*Hypericum calycinum,AARON'S BEARD,,http://www.flickr.com/search/?q=jrbp Hypericum calycinum,SPEC,,907,,
JUGLANDACEAE – WALNUT FAMILY,,,,,,,,
Juglans hindsii (J. californica var. hindsii),NORTHERN CALIFORNIA BLACK WALNUT,,http://www.flickr.com/search/?q=jrbp Juglans hindsii,SPEC,,380,,remove rank
LAMIACEAE – MINT FAMILY,,,,,,,,
Clinopodium douglasii (Satureja d.),YERBA BUENA,,http://www.flickr.com/search/?q=jrbp Clinopodium douglasii,SPEC,,393,,
*Lamium amplexicaule,HENBIT,,http://www.flickr.com/search/?q=jrbp Lamium amplexicaule,SPEC,,381,,
*Lamium purpureum,RED HENBIT,,http://www.flickr.com/search/?q=jrbp Lamium purpureum,SPEC,,243,,
Lepechinia calycina,PITCHER SAGE,,http://www.flickr.com/search/?q=jrbp Lepechinia calycina,SPEC,,382,,
*Marrubium vulgare,HOREHOUND,,,SPEC$,RSA176525 1962. Single plant found in 2001 near Dennis Martin site; not seen since 2004. Another plant on Tr 20; not seen since late 2000s. Reported earlier by Springer 1935 “Infrequent”; Dengler 1975,383,,
*Melissa officinalis,LEMON BALM,,http://www.flickr.com/search/?q=jrbp melissa,SPEC,,384,,
*Mentha xpiperita,PEPPERMINT,,http://www.flickr.com/search/?q=jrbp mentha xpiperita,SPEC,"St 3-5 dm, glabrous; lvs petioled (vs M. spicata)",388,,st add abbr
*Mentha pulegium,PENNYROYAL,,http://www.flickr.com/search/?q=jrbp mentha pulegium,SPEC,"St 1-3, short-hairy",386,,
"*Mentha spicata
 (M. spicata var. s.)",SPEARMINT,,http://www.flickr.com/search/?q=jrbp mentha spicata,SPEC,"St 3-10(12), glabrous; lvs sessile (vs M. piperita)",387,,print lacks syn
*Mentha suaveolens,PINEAPPLE MINT,,http://www.flickr.com/search/?q=jrbp mentha suaveolens,SPEC,"St 5-10 dm, soft-hairy (vs other Mentha spp)",900,,
Monardella villosa ssp. villosa,COYOTE-MINT,,http://www.flickr.com/search/?q=jrbp Monardella villosa,SPEC,,389,,
Pogogyne serpylloides,THYMELEAF BEARDSTYLE,,http://www.flickr.com/search/?q=jrbp Pogogyne serpylloides,SPEC,Lvs gland-dotted,390,,add lvs abbr
Prunella vulgaris var. lanceolata,SELF-HEAL,,http://www.flickr.com/search/?q=jrbp Prunella vulgaris,SPEC,,863,,
N Rosmarinus officinalis,ROSEMARY,,http://www.flickr.com/search/?q=jrbp Rosmarinus,SPEC,Occasional plant found and removed,917,,
Salvia columbariae,CHIA,,http://www.flickr.com/search/?q=jrbp Salvia columbariae,SPEC,,392,,
Scutellaria tuberosa,DANNIE'S SKULL CAP,,http://www.flickr.com/search/?q=jrbp Scutellaria tuberosa,SPEC,,394,,
Stachys bullata,CALIFORNIA HEDGE NETTLE,,http://www.flickr.com/search/?q=jrbp Stachys bullata,SPEC,Corolla tube not pouched; infl elongated,396,,add infl abbr
Stachys pycnantha,SHORT-SPIKED HEDGE NETTLE,,http://www.flickr.com/search/?q=jrbp Stachys pycnantha,SPEC,Corolla tube pouched; infl compact; usually serpentine seeps (vs S. rigida),397,,
Stachys rigida var. quercetorum,RIGID HEDGE NETTLE,,http://www.flickr.com/search/?q=jrbp Stachys rigida,SPEC,Corolla tube pouched; infl elongate (vs S. pycnantha). Look for var. rigida,924,,
LAURACEAE – LAUREL FAMILY (see Magnoliids),,,,,,,,
LINACEAE – FLAX FAMILY,,,,,,,,
Hesperolinon micranthum,SMALL-FLOWERED DWARF FLAX,,http://www.flickr.com/search/?q=jrbp Hesperolinon,SPEC,,399,,
*Linum bienne,NARROW-LEAVED FLAX,,http://www.flickr.com/search/?q=jrbp Linum bienne,SPEC,,832,,
LYTHRACEAE – LOOSESTRIFE FAMILY,,,,,,,,
Ammannia robusta,ROBUST AMMANNIA,,http://www.flickr.com/search/?q=jrbp Ammannia robusta,SPEC,Collected in 1982 “old bathing beach”; not reported since,401,,
*Lythrum hyssopifolia (L. hyssopifolium),GRASS POLY,,http://www.flickr.com/search/?q=jrbp Lythrum hyssopifolia,SPEC,,403,,
*Lythrum tribracteatum,THREEBRACT LOOSESTRIFE,,http://www.flickr.com/search/?q=jrbp Lythrum tribracteatum,SPEC,Collected in 1981 “old bathing beach”; not reported since,807,,
MALVACEAE – MALLOW FAMILY,,,,,,,,
*Abutilon theophrasti,VELVET-LEAF,,http://www.flickr.com/search/?q=jrbp Abutilon theophrasti,SPEC,,891,,
« Malacothamnus fasciculatus,CHAPARRAL MALLOW,,http://www.flickr.com/search/?q=jrbp Malacothamnus fasciculatus,SPEC,"Malacothamnus arcuatus, syn. of M. fasciculatus in TJM1, was RANK 1B.2. Springer 1935 Sphaeralcea arcuata “infrequent” but evidently more widespread than at present",404,,
*Malva nicaeensis,BULL MALLOW,,http://www.flickr.com/search/?q=jrbp Malva nicaeensis,SPEC,,405,,
Sidalcea malviflora ssp. malviflora,"CHECKERBLOOM, CHECKERMALLOW",,http://www.flickr.com/search/?q=jrbp Sidalcea,SPEC,,407,,
MONTIACEAE – MINER’S LETTUCE FAMILY,,,,,,,,
Calandrinia menziesii (C. ciliata),RED MAIDS,,http://www.flickr.com/search/?q=jrbp Calandrinia ciliata,SPEC,,478,,
Claytonia exigua ssp. exigua,SLENDER CLAYTONIA,,http://www.flickr.com/search/?q=jrbp Claytonia exigua,SPEC,,479,,
Claytonia parviflora ssp. parviflora,SMALL-FLOWERED CLAYTONIA,,http://www.flickr.com/search/?q=jrbp Claytonia parviflora,SPEC,,808,,
Claytonia perfoliata ssp. perfoliata,MINER'S LETTUCE,,http://www.flickr.com/search/?q=jrbp Claytonia perfoliata,SPEC,,480,,
Montia fontana,"WATER CHICKWEED, BLINKS",,http://www.flickr.com/search/?q=jrbp Montia fontana,SPEC,,481,,
MORACEAE – MULBERRY FAMILY,,,,,,,,
*Ficus carica,EDIBLE FIG,,http://www.flickr.com/search/?q=jrbp Ficus,SPEC,,408,,
MYRSINACEAE – MYRSINE FAMILY,,,,,,,,
* Lysimachia arvensis (Anagallis a.),SCARLET PIMPERNEL,,http://www.flickr.com/search/?q=jrbp Anagallis arvensis,SPEC,,483,,
Lysimachia latifolia (Trientalis l.),PACIFIC STARFLOWER,,http://www.flickr.com/search/?q=jrbp Trientalis latifolia,SPEC,,487,,
Lysimachia minima (Anagallis m.; Centunculus minimus),CHAFFWEED,,http://www.flickr.com/search/?q=jrbp Anagallis minima,SPEC,Collected 1962-1981 “Grassy meadows in [blue] oak woodlands” and “Low wet areas in grasslands”; not reported since,484,,
MYRTACEAE – MYRTLE FAMILY,,,,,,,,
*Eucalyptus globulus,BLUE GUM,,http://www.flickr.com/search/?q=jrbp Eucalyptus globulus,SPEC,,409,,
W Myrtus communis,MYRTLE,,http://www.flickr.com/search/?q=jrbp Myrtus communis,SPEC,"Abundant at Hermit Cabin site; persistent, appears to spread vegetatively",410,,
OLEACEAE – OLIVE FAMILY,,,,,,,,
*Ligustrum lucidum,CHINESE PRIVET,,http://www.flickr.com/search/?q=jrbp Ligustrum lucidum,SPEC,,879,,
N Ligustrum vulgare,COMMON PRIVET,,http://www.flickr.com/search/?q=jrbp Ligustrum vulgare,SPEC,Apparently naturalized,931,,
*Olea europaea,OLIVE,,http://www.flickr.com/search/?q=jrbp Olea europaea,SPEC,,412,,
ONAGRACEAE – EVENING-PRIMROSE FAMILY,,,,,,,,
Camissoniopsis intermedia,SUN CUPS,,http://www.flickr.com/search/?q=jrbp Camissoniopsis intermedia,SPEC,Old Beach sand sourced from Santa Cruz Co.,949,,
Camissoniopsis micrantha (Camissonia m.),MINATURE SUNCUP,,http://www.flickr.com/search/?q=jrbp Camissoniopsis micrantha,spec,Collected in 1972 (single plant in Rd E near big inlet); not reported since,413,,
Clarkia purpurea ssp. quadrivulnera,FOUR-SPOT,,http://www.flickr.com/search/?q=jrbp Clarkia purpurea quadrivulnera,SPEC,Ovary 8-grooved; stigma not exerted beyond anthers; petals 5-15 mm,415,,
Clarkia purpurea ssp. viminea,LARGE GODETIA,,http://www.flickr.com/search/?q=jrbp Clarkia purpurea viminea,SPEC,Ovary 8-grooved; stigma exerted beyond anthers; petals 15-30 mm,416,,
Clarkia rubicunda,FAREWELL-TO-SPRING,,http://www.flickr.com/search/?q=jrbp Clarkia rubicunda,SPEC,Ovary 4-grooved,417,,
Clarkia unguiculata,ELEGANT CLARKIA,,http://www.flickr.com/search/?q=jrbp Clarkia unguiculata,SPEC,,418,,
Epilobium brachycarpum,PANICLED WILLOWHERB,,http://www.flickr.com/search/?q=jrbp Epilobium brachycarpum,SPEC,"Annual; st readily shredding; lvs opposite near base only; gen in dry grassland, serp, disturbed areas",419,,
Epilobium ciliatum ssp. ciliatum,COMMON WILLOWHERB,,http://www.flickr.com/search/?q=jrbp Epilobium ciliatum ciliatum,SPEC,"Per; st glabrous; lvs opposite up to infl; gen along stream banks, moist areas",420,,
Epilobium densiflorum,DENSE-FLOWERED WILLOWHERB,,http://www.flickr.com/search/?q=jrbp Epilobium densiflorum,SPEC,,422,,
Epilobium minutum,MINUTE WILLOWHERB,,http://www.flickr.com/search/?q=jrbp Epilobium minutum,SPEC,Seed hair-tuft; locally abundant (vs E. torreyi),423,,
Epilobium torreyi,TORREY’S WILLOWHERB,,http://www.flickr.com/search/?q=jrbp Epilobium torreyi,spec,Collected from 1961– 1967 in blue oak woodland along Road F and along Road E; not reported since. Seed hair-tuft 0; fr. beaked,425,,
*Ludwigia peploides ssp. peploides,CALIFORNIA WATER PRIMROSE,,http://www.flickr.com/search/?q=jrbp Ludwigia peploides,SPEC,,427,,
Oenothera elata ssp. hookeri,HOOKER'S EVENING-PRIMROSE,,http://www.flickr.com/search/?q=jrbp Oenothera elata,SPEC,Collected in 1920 “Searsville Lake”; not reported since,428,,
"Taraxia ovata
 (Camissonia o.)",COAST SUNCUP,,http://www.flickr.com/search/?q=jrbp Taraxia ovata,SPEC,,414,,
OROBANCHACEAE – BROOMRAPE FAMILY,,,,,,,,
Aphyllon fasciculatum (Orobanche fasciculata),CLUSTERED BROOMRAPE,,https://www.flickr.com/search/?text=jrbp%20Orobanche%20fasciculata,SPEC,with Eriogonum nudum,431,,
Aphyllon purpureum (Orobanche uniflora),NAKED BROOMRAPE,,,spec,Collected in 1968 in blue oak woodland N end of Ridge; not reported since,432,,
Aphyllon tuberosum (Orobanche bulbosa),CHAPARRAL BROOMRAPE,,http://www.flickr.com/search/?q=jrbp Orobanche bulbosa,SPEC,Collected in 1906 “Searsville Lake under Sambucus” and 1977 near Rd E; not reported since,429,,
Aphyllon vallicolum (Orobanche vallicola),HILLSIDE BROOMRAPE,,http://www.flickr.com/search/?q=jrbp Orobanche vallicola,SPEC,Trail 2 and 12 with Sambucus,839,,
*Bellardia trixago,MEDITERRANEAN LINSEED,,http://www.flickr.com/search/?q=jrbp Bellardia trixago,SPEC,"Springer 1935 “Rare, two plants found in level field in May”; uncommon",556,,
Castilleja affinis ssp. affinis,INDIAN PAINTBRUSH,,http://www.flickr.com/search/?q=jrbp Castilleja affinis,SPEC,,557,,
Castilleja attenuata,VALLEY TASSELS,,http://www.flickr.com/search/?q=jrbp Castilleja attenuata,SPEC,,558,,
N Castilleja attenuata x Castilleja densiflora ssp. densiflora,,,,REP,Infrequent. Growing with Avena fatua (JROH5780),,,remove link
N Castilleja densiflora ssp. densiflora,OWL'S-CLOVER,,http://www.flickr.com/search/?q=jrbp Castilleja densiflora,SPEC,,559,,
N Castilleja densiflora x Castilleja rubicundula ssp. lithospermoides,HYBRID OWL'S-CLOVER,,http://www.flickr.com/search/?q=jrbp Castilleja densiflora x rubicundula,SPEC,"JROH3977, JROH4012",793,,
Castilleja exserta ssp. exserta,PURPLE OWL'S-CLOVER,,,REP,"Springer 1935 “Abundant in April and May, often found with C. densiflora”; Dengler 1975; not reported since",560,,
Castilleja foliolosa,WOOLLY PAINTBRUSH,,,REP,"Springer 1935 “Frequent on dry hillsides, especially in rocky places”; Dengler 1975; not reported since",561,,
Castilleja rubicundula ssp. lithospermoides,CREAM SACS,,http://www.flickr.com/search/?q=jrbp Castilleja rubicundula,SPEC,,562,,
Castilleja wightii,WIGHT'S PAINTBRUSH,,http://www.flickr.com/search/?q=jrbp Castilleja rubicundula,spec,"Collected once in 1961 along Corte Madera Creek, south end of Preserve",564,,
Cordylanthus pilosus ssp. pilosus,HAIRY BIRD'S-BEAK,,http://www.flickr.com/search/?q=jrbp Cordylanthus pilosus,SPEC,,567,,
Cordylanthus rigidus ssp. rigidus,STIFFLY-BRANCHED BIRD'S-BEAK,,http://www.flickr.com/search/?q=jrbp Cordylanthus rigidus,SPEC,,568,,
*Parentucellia viscosa,YELLOW GLANDWEED,,http://www.flickr.com/search/?q=jrbp Parentucellia viscosa,SPEC,,850,,
Pedicularis densiflora,INDIAN WARRIOR,,http://www.flickr.com/search/?q=jrbp Pedicularis densiflora,SPEC,,580,,
Triphysaria eriantha ssp. eriantha,"BUTTER-AND-EGGS, JOHNNY-TUCK",,http://www.flickr.com/search/?q=jrbp Triphysaria eriantha ssp. eriantha,spec,Collected in 1896 “Searsville Ridge”; not reported since,582,,
Triphysaria pusilla,DWARF ORTHOCARPUS,,http://www.flickr.com/search/?q=jrbp Triphysaria pusilla,SPEC,,583,,
OXALIDACEAE - OXALIS FAMILY,,,,,,,,
*Oxalis corniculata,CREEPING WOOD-SORREL,,http://www.flickr.com/search/?q=jrbp Oxalis corniculata,SPEC,,433,,
*Oxalis micrantha,DWARF WOOD-SORREL,,http://www.flickr.com/search/?q=jrbp Oxalis micrantha,SPEC,First report 2013,938,,
Oxalis oregana,REDWOOD SORREL,,http://www.flickr.com/search/?q=jrbp Oxalis oregana,SPEC,Collected in 1915; not reported since,434,,
*Oxalis pes-caprae,BERMUDA BUTTERCUP,,http://www.flickr.com/search/?q=jrbp Oxalis pes-caprae,SPEC,Common and spreading in shady places,435,,
PAPAVERACEAE – POPPY FAMILY,,,,,,,,
Eschscholzia californica,CALIFORNIA POPPY,,http://www.flickr.com/search/?q=jrbp Eschscholzia californica,SPEC,,437,,
*Fumaria capreolata,WHITE RAMPING FUMITORY,,http://www.flickr.com/search/?q=jrbp Fumaria,SPEC,,814,,
Platystemon californicus,CREAM CUPS,,http://www.flickr.com/search/?q=jrbp Platystemon californicus,SPEC,"Not observed since April, 2002. Earliest report by Moeur 1947 “infrequent in moist meadows and along roadsides in February and March”",438,,
PHILADELPHACEAE (see HYDRANGEACEAE),,,,,,,,
PHRYMACEAE – LOPSEED FAMILY,,,,,,,,
Diplacus douglasii (Mimulus douglasii),PURPLE MOUSE-EARS,,http://www.flickr.com/search/?q=jrbp Mimulus douglasii,SPEC,,578,,
Diplacus aurantiacus (Mimulus aurantiacus var. aurantiacus),STICKY MONKEYFLOWER,,http://www.flickr.com/search/?q=jrbp Mimulus aurantiacus,SPEC,,576,,
Erythranthe cardinalis (Mimulus cardinalis),SCARLET MONKEYFLOWER,,http://www.flickr.com/search/?q=jrbp Mimulus cardinalis,SPEC,,577,,
Erythranthe microphylla (Mimulus guttatus in part),,,http://www.flickr.com/search/?q=jrbp Mimulus guttatus,SPEC,,,,
Erythranthe guttata (Mimulus guttatus in part),COMMON LARGE MONKEYFLOWER,,http://www.flickr.com/search/?q=jrbp Mimulus guttatus,SPEC,,579,,
PLANTAGINACEAE - PLANTAIN FAMILY (includes CALLITRICHACEAE and some SCROPHULARIACEAE),,,,,,,,
Antirrhinum kelloggii,LAX SNAPDRAGON,,http://www.flickr.com/search/?q=jrbp Antirrhinum kelloggii,spec,Collected in 1968 from seeds grown in a flat; seeds collected on ground in west- facing chaparral slope; not reported since,554,,
Antirrhinum vexillocalyculatum ssp. v.,WIRY SNAPDRAGON,,,REP,Springer 1935 “edge of shady area at the margin of the lake. Three specimens in June and July”; not reported since,555,,
Callitriche marginata,CALIFORNIA WATER-STARWORT,,http://www.flickr.com/search/?q=jrbp Callitriche marginata,SPEC,,218,,
Collinsia heterophylla var. heterophylla,CHINESE-HOUSES,,http://www.flickr.com/search/?q=jrbp Collinsia heterophylla,SPEC,,565,,
Collinsia sparsiflora var. collina,BLUE-EYED MARY,,http://www.flickr.com/search/?q=jrbp Collinsia sparsiflora,SPEC,,566,,
*Digitalis purpurea,FOXGLOVE,,,DOC,"Observed in 2001 at west end of Leonard’s Bridge, persistent for several years; not seen again after area mowed",569,,
!Keckiella antirrhinoides var. antirrhinoides,CHAPARRAL BEARDTONGUE,,http://www.flickr.com/search/?q=jrbp Keckiella antirrhinoides,SPEC,"Single plant reported in 1953 and no longer living April, 2009; new plant found growing near old site on Trail 12 in 2011",570,,
*Kickxia elatine,SHARP-LEAVED FLUELLIN,,http://www.flickr.com/search/?q=jrbp Kickxia elatine,SPEC,"Lvs lobed at base (vs. K, spuria)",571,,delete note: Collected in 1961 and 2006; not reported since. 
*Kickxia spuria,ROUND-LEAVED FLUELLIN,,http://www.flickr.com/search/?q=jrbp Kickxia spuria,SPEC,Lvs not lobed at base,572,,
Nuttallanthus texanus (Linaria canadensis),BLUE TOADFLAX,,,SPEC,,575,,
*Plantago coronopus,CUT-LEAVED PLANTAIN,,http://www.flickr.com/search/?q=jrbp Plantago coronopus,SPEC,,815,,
Plantago erecta,CALIFORNIA PLANTAIN,,http://www.flickr.com/search/?q=jrbp Plantago erecta,SPEC,,440,,
*Plantago lanceolata,ENGLISH PLANTAIN,,http://www.flickr.com/search/?q=jrbp Plantago lanceolata,SPEC,,441,,
*Plantago major,COMMON PLANTAIN,,http://www.flickr.com/search/?q=jrbp Plantago major,SPEC,,442,,
Veronica americana,AMERICAN BROOKLIME,,http://www.flickr.com/search/?q=jrbp Veronica americana,SPEC,,586,,
*Veronica arvensis,CORN SPEEDWELL,,http://www.flickr.com/search/?q=jrbp Veronica arvensis,SPEC,,810,,
